# JINA Reaclib
# N15(p,a)
# T9 	rate
0.1 	6.563891e-02
0.15 	4.972214e+00
0.2 	9.663554e+01
0.3 	4.653902e+03
0.4 	4.472059e+04
0.5 	1.876767e+05
0.6 	4.939778e+05
0.7 	9.794429e+05
0.8 	1.624711e+06
0.9 	2.406737e+06
1 	3.317942e+06
1.5 	9.742874e+06
2 	1.738866e+07
2.5 	2.623827e+07
3 	3.757651e+07
3.5 	5.082983e+07
4 	6.524864e+07
4.5 	8.033738e+07
5 	9.568919e+07
6 	1.260031e+08
7 	1.550859e+08
8 	1.837483e+08
9 	2.142477e+08
10 	2.499706e+08
