# A trajectory with a range of temperature characteristic for 
# H burning from the hottest conditions found in nova (400MK) to the 
# coolest conditions found in low-mass main-sequence burning stars. The 
# time scale for the reactions is scales with 1/rate. Starting with the 
# highest T and then proceeding to the lowest T means that we start with 
# small time steps which are then increasing, and when plotting the 
# results we can conveniently use a log scale for the x axis. 
# In this way the trajectory demonstrates the network behaviour for 
# a range of conditions encountered in real stars. 
# 
#  Columns: time / [s], T9 / [10**9 K] 
0.000000000000000000e+00 4.000000000000000222e-01
2.315897030483548558e-01 3.934693877551020402e-01
4.883729884666817012e-01 3.869387755102041138e-01
7.742222944295223952e-01 3.804081632653061318e-01
1.093775680635324932e+00 3.738775510204082053e-01
1.452613824961872080e+00 3.673469387755102233e-01
1.857483903380384049e+00 3.608163265306122414e-01
2.316584300322544365e+00 3.542857142857143149e-01
2.839929045510753092e+00 3.477551020408163329e-01
3.439839408391478504e+00 3.412244897959184065e-01
4.131604324435995679e+00 3.346938775510204245e-01
4.934320182294173129e+00 3.281632653061224980e-01
5.871998265330867106e+00 3.216326530612245160e-01
6.975039555075146502e+00 3.151020408163265341e-01
8.282213329179521466e+00 3.085714285714286076e-01
9.843331951805000202e+00 3.020408163265306256e-01
1.172294522574068942e+01 2.955102040816326436e-01
1.400604290065560420e+01 2.889795918367347172e-01
1.680614019646849400e+01 2.824489795918367352e-01
2.027658171025095868e+01 2.759183673469388087e-01
2.462698631384945713e+01 2.693877551020408267e-01
3.014748381310953818e+01 2.628571428571429003e-01
3.724490809495983967e+01 2.563265306122449183e-01
4.649759013125408558e+01 2.497959183673469641e-01
5.874107635582513609e+01 2.432653061224490099e-01
7.520916296850712968e+01 2.367346938775510279e-01
9.775976520234138434e+01 2.302040816326530737e-01
1.292464164000382141e+02 2.236734693877551194e-01
1.741441581997691230e+02 2.171428571428571652e-01
2.396271614303652200e+02 2.106122448979592110e-01
3.374668623100303648e+02 2.040816326530612290e-01
4.874576835581380010e+02 1.975510204081632748e-01
7.238588757855628728e+02 1.910204081632653206e-01
1.107927227526529123e+03 1.844897959183673664e-01
1.752830271047440647e+03 1.779591836734694121e-01
2.874117873783671712e+03 1.714285714285714302e-01
4.893985571806464577e+03 1.648979591836734759e-01
8.665271086953980557e+03 1.583673469387755217e-01
1.593164919760733756e+04 1.518367346938775675e-01
3.019362205082791843e+04 1.453061224489796133e-01
5.849983378467975126e+04 1.387755102040816313e-01
1.147429123206387158e+05 1.322448979591837048e-01
2.240906481261612498e+05 1.257142857142857229e-01
4.319198560172048165e+05 1.191836734693877409e-01
8.238198107977169566e+05 1.126530612244898144e-01
1.567821839303673245e+06 1.061224489795918324e-01
3.017581626508393325e+06 9.959183673469390596e-02
5.981968550441391766e+06 9.306122448979592399e-02
1.246282141567849368e+07 8.653061224489799752e-02
2.784743680029387772e+07 8.000000000000000167e-02
