# JINA Reaclib
# N14(p,g)
# T9 	rate
0.1 	6.869595e-07
0.15 	1.122687e-04
0.2 	7.761239e-03
0.3 	5.992543e-01
0.4 	4.731804e+00
0.5 	1.524028e+01
0.6 	3.173595e+01
0.7 	5.185605e+01
0.8 	7.313255e+01
0.9 	9.385440e+01
1 	1.131856e+02
1.5 	1.889338e+02
2 	2.431408e+02
2.5 	2.876096e+02
3 	3.272328e+02
3.5 	3.635647e+02
4 	3.971313e+02
4.5 	4.281865e+02
5 	4.569243e+02
6 	5.081819e+02
7 	5.523183e+02
8 	5.905904e+02
9 	6.240447e+02
10 	6.535260e+02
