# JINA Reaclib
# C13(p,g)
# T9 	rate
0.1 	8.413515e-05
0.15 	3.037032e-03
0.2 	2.988265e-02
0.3 	5.791119e-01
0.4 	5.827303e+00
0.5 	4.261434e+01
0.6 	1.896258e+02
0.7 	5.644875e+02
0.8 	1.273926e+03
0.9 	2.377776e+03
1 	3.883478e+03
1.5 	1.571322e+04
2 	2.889673e+04
2.5 	3.825261e+04
3 	4.382397e+04
3.5 	4.793474e+04
4 	5.160701e+04
4.5 	5.464441e+04
5 	5.680343e+04
6 	5.865993e+04
7 	5.815474e+04
8 	5.622405e+04
9 	5.350051e+04
10 	5.039254e+04
